epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1309,1.73124,3.55303,1.43116,0.00452,0.9726,0.27841,0.16285,1.09266,3.36856,1.00024,0.0003334,0.0003334,0.0003334
2,28.0375,1.28255,1.76513,1.12702,0.00468,0.9863,0.50719,0.30497,1.15632,2.99019,1.06865,0.000681778,0.000681778,0.000681778
3,41.2789,1.22821,1.19954,1.10857,1,0.1348,0.84139,0.5602,1.098,2.45524,1.05844,0.00102842,0.00102842,0.00102842
4,54.2854,1.15748,1.03734,1.08403,0.89416,0.85891,0.95914,0.65579,1.04565,1.50651,1.01012,0.00137334,0.00137334,0.00137334
5,67.2374,1.20669,1.06708,1.10719,0.85055,0.82962,0.85425,0.58584,1.16729,1.3809,1.1318,0.0016505,0.0016505,0.0016505
6,80.3486,1.18083,1.01563,1.10443,0.91584,0.84206,0.92851,0.69055,1.02325,1.04795,1.1211,0.00164637,0.00164637,0.00164637
7,93.4036,1.14361,0.94497,1.08299,0.94864,0.90296,0.97447,0.67254,1.094,0.95403,1.12333,0.00164225,0.00164225,0.00164225
8,106.437,1.11997,0.90638,1.07274,0.77981,0.87473,0.89402,0.64122,1.07118,1.79925,1.14608,0.00163812,0.00163812,0.00163812
9,119.305,1.10614,0.90168,1.08064,0.93301,0.93112,0.97156,0.71807,0.9823,0.80862,1.03876,0.00163399,0.00163399,0.00163399
10,132.285,1.08487,0.8347,1.0484,0.93017,0.85911,0.92803,0.69699,0.94068,0.87184,1.02964,0.00162987,0.00162987,0.00162987
11,145.168,1.02941,0.80996,1.04105,0.86396,0.66506,0.78955,0.58953,1.08601,1.25309,1.09377,0.00162574,0.00162574,0.00162574
12,158.204,1.06564,0.77923,1.04146,0.89597,0.87148,0.93364,0.67932,0.98124,1.17306,1.01241,0.00162162,0.00162162,0.00162162
13,171.412,1.04271,0.77598,1.04106,0.95245,0.95871,0.97994,0.72766,1.00344,0.77216,1.0735,0.00161749,0.00161749,0.00161749
14,184.473,1.02887,0.73,1.05206,0.98882,0.96144,0.98773,0.78534,0.84835,0.58808,0.99288,0.00161336,0.00161336,0.00161336
15,197.822,0.99195,0.71906,1.02037,0.97229,0.91607,0.98649,0.73796,0.9619,0.67948,1.03112,0.00160924,0.00160924,0.00160924
16,211.013,0.98619,0.70627,1.02718,0.98633,0.97945,0.99311,0.77606,0.84921,0.66218,0.98754,0.00160511,0.00160511,0.00160511
17,224.833,0.96338,0.67076,1.01814,0.94865,0.97531,0.98617,0.75407,0.88918,0.62129,1.02097,0.00160099,0.00160099,0.00160099
18,238.612,0.96143,0.68322,1.01222,0.96051,0.88963,0.96791,0.70738,1.03622,0.75854,1.06354,0.00159686,0.00159686,0.00159686
19,252.068,0.98371,0.7055,1.0186,0.98148,0.96349,0.9918,0.77079,0.88475,0.65185,0.99058,0.00159274,0.00159274,0.00159274
20,265.218,0.98368,0.67903,1.01397,0.98213,0.99315,0.9944,0.7637,0.9496,0.5851,0.99708,0.00158861,0.00158861,0.00158861
21,278.231,0.93128,0.63273,1.00597,0.96227,0.86265,0.98764,0.77805,0.90399,0.72849,1.00756,0.00158448,0.00158448,0.00158448
