epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.4488,1.27132,3.17293,1.51473,0.00333,1,0.7809,0.60593,0.67229,3.22796,1.02025,0.00016,0.00016,0.00016
2,137.109,0.8584,2.17832,1.16338,0.00929,1,0.95714,0.77614,0.64072,2.88966,0.93413,0.000339159,0.000339159,0.000339159
3,211.12,0.87496,1.51156,1.12153,1,0.48721,0.97766,0.78728,0.68869,2.84285,1.02435,0.000517426,0.000517426,0.000517426
4,284.089,0.83605,1.40963,1.09608,1,0.65911,0.995,0.82999,0.71901,2.77215,1.04724,0.000694803,0.000694803,0.000694803
5,357.768,0.8133,1.27043,1.09257,0.85431,0.61017,0.82645,0.62895,0.78651,2.86853,1.08763,0.000871288,0.000871288,0.000871288
6,426.441,0.84161,1.26426,1.11238,0.21021,0.55932,0.23268,0.16533,0.91731,3.16876,1.22029,0.00104688,0.00104688,0.00104688
7,493.373,0.81942,1.12392,1.08934,0.75219,0.32203,0.62529,0.41008,1.13978,3.14836,1.37163,0.00122159,0.00122159,0.00122159
8,557.669,0.76673,0.96597,1.03846,0.95079,0.98241,0.98634,0.8183,0.70422,1.96534,1.03908,0.0013954,0.0013954,0.0013954
9,621.606,0.78001,0.9517,1.07212,0.98644,0.88136,0.97822,0.81107,0.67638,1.72004,0.99049,0.00156832,0.00156832,0.00156832
10,684.711,0.79063,0.90628,1.0594,0.86759,0.42373,0.59244,0.41207,1.24477,3.73002,1.49317,0.00174035,0.00174035,0.00174035
11,745.895,0.86514,0.92128,1.0942,0.38766,0.30508,0.30817,0.25165,1.10026,2.7527,1.33151,0.00191149,0.00191149,0.00191149
12,807.287,0.79371,0.81424,1.06764,0.51264,0.22034,0.26256,0.13708,2.39238,3.14558,2.53222,0.00194555,0.00194555,0.00194555
13,868.814,0.78906,0.80398,1.06348,0.70481,0.0678,0.09416,0.0686,2.28997,3.28934,2.15709,0.0019406,0.0019406,0.0019406
14,930.382,0.81341,0.79077,1.08874,0.30544,0.11864,0.05748,0.04058,2.06497,3.66271,2.03705,0.00193565,0.00193565,0.00193565
15,991.455,0.76703,0.71868,1.03649,0.57051,0.05085,0.07858,0.03401,2.00693,3.21251,2.49046,0.0019307,0.0019307,0.0019307
16,1052.72,0.8138,0.71668,1.06026,0.33755,0.0339,0.04478,0.0155,3.28138,3.54016,4.60228,0.00192575,0.00192575,0.00192575
17,1113.14,0.79423,0.6779,1.06789,0.85113,0.87219,0.9282,0.72566,0.78347,1.14318,1.13369,0.0019208,0.0019208,0.0019208
18,1173.58,0.77054,0.66221,1.0296,0.84758,0.9322,0.94667,0.71149,0.76595,1.10857,1.09484,0.00191585,0.00191585,0.00191585
19,1233.99,0.78415,0.64967,1.06694,0.94081,0.80823,0.90652,0.65334,0.86782,1.84628,1.14287,0.0019109,0.0019109,0.0019109
20,1294.36,0.78142,0.63418,1.05737,0.77231,0.9199,0.85231,0.648,0.77304,1.708,1.07021,0.00190595,0.00190595,0.00190595
21,1354.38,0.73482,0.56551,1.0268,0.96164,0.98305,0.99367,0.82843,0.646,0.67281,0.97288,0.001901,0.001901,0.001901
22,1414.86,0.70978,0.58823,1.01695,0.8858,0.9322,0.95761,0.82873,0.57614,2.07372,0.94406,0.00189605,0.00189605,0.00189605
23,1475.27,0.70407,0.55263,1.00473,0.70745,0.88136,0.84746,0.62879,0.89353,1.21556,1.08929,0.0018911,0.0018911,0.0018911
24,1535.27,0.73528,0.54504,1.01873,0.56672,0.42373,0.43598,0.28574,1.71673,1.94665,1.50045,0.00188615,0.00188615,0.00188615
25,1595.74,0.73304,0.53648,1.02428,0.80937,0.77966,0.80962,0.44346,1.32286,1.44705,1.36959,0.0018812,0.0018812,0.0018812
26,1656.17,0.6959,0.52826,1.00813,0.80561,0.89831,0.92588,0.51149,1.11007,1.14909,1.29408,0.00187625,0.00187625,0.00187625
27,1716.15,0.67661,0.4931,1.00618,0.58816,0.91525,0.805,0.39427,1.34795,1.45056,1.49775,0.0018713,0.0018713,0.0018713
28,1776.48,0.69008,0.49448,1.02269,0.99606,1,0.995,0.89668,0.50865,0.46184,0.88938,0.00186635,0.00186635,0.00186635
29,1836.83,0.66523,0.4774,0.99984,1,0.99765,0.995,0.85873,0.57699,0.45238,0.92789,0.0018614,0.0018614,0.0018614
30,1896.75,0.68184,0.50576,1.00456,0.99718,1,0.995,0.86142,0.57643,0.45438,0.91884,0.00185645,0.00185645,0.00185645
31,1957.34,0.66921,0.48164,0.99598,0.99621,1,0.995,0.8749,0.5295,0.45987,0.88932,0.0018515,0.0018515,0.0018515
32,2017.55,0.66542,0.49237,1.00799,0.97691,1,0.995,0.85728,0.53888,0.81171,0.89249,0.00184655,0.00184655,0.00184655
33,2077.68,0.66697,0.47188,0.99387,0.98333,0.99959,0.9945,0.8718,0.58796,0.51777,0.88653,0.0018416,0.0018416,0.0018416
34,2138.1,0.6491,0.45172,0.99846,0.99617,0.91525,0.97162,0.85981,0.52866,1.86077,0.90246,0.00183665,0.00183665,0.00183665
35,2198.31,0.68023,0.46877,1.02957,0.99261,1,0.995,0.88,0.50986,1.25009,0.8803,0.0018317,0.0018317,0.0018317
36,2258.35,0.61555,0.42917,0.98058,0.97532,1,0.99483,0.8752,0.52901,1.71286,0.88224,0.00182675,0.00182675,0.00182675
37,2318.49,0.723,0.49333,1.0225,0.99519,1,0.995,0.89668,0.49871,0.4336,0.88316,0.0018218,0.0018218,0.0018218
38,2378.58,0.63099,0.4485,0.98703,0.97265,0.94915,0.98301,0.85318,0.58123,0.49679,0.91933,0.00181685,0.00181685,0.00181685
39,2438.44,0.65974,0.4635,1.00432,0.979,1,0.9945,0.86062,0.57466,0.39754,0.92963,0.0018119,0.0018119,0.0018119
40,2498.74,0.60822,0.44088,0.96083,0.99797,1,0.995,0.89191,0.52482,0.36065,0.89385,0.00180695,0.00180695,0.00180695
41,2558.87,0.65141,0.44421,1.01174,0.74008,0.89831,0.95131,0.82694,0.53986,0.91729,0.92464,0.001802,0.001802,0.001802
42,2618.73,0.63678,0.44675,0.985,0.99859,1,0.995,0.89112,0.53154,0.3551,0.91825,0.00179705,0.00179705,0.00179705
43,2678.88,0.66053,0.47825,1.01105,0.99771,1,0.995,0.90616,0.44204,0.31365,0.84751,0.0017921,0.0017921,0.0017921
